country,year,FH_Judicial,FH_Electoral,BTI_Participation,R_Justice,pct_Justice,zone_Justice,R_Electoral,pct_Electoral,zone_Electoral,R_Coalition,pct_Coalition,zone_Coalition,R_EEF,pct_EEF,zone_EEF,Pi,Phi,dS_dt,trend,electoral_override
Hungary,2018,2.0,2.5,5.0,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.7979,79.79,HIGH,0.7667,76.67,HIGH,0.0,0.2333,-0.2333,STABLE,False
Hungary,2019,2.0,2.5,4.75,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.7261,72.61,HIGH,0.7428,74.28,HIGH,0.0,0.2572,-0.2572,CONSOLIDATING,False
Hungary,2020,2.0,2.5,4.5,0.6688,66.88,HIGH,0.8334,83.34,CRITICAL,0.7261,72.61,HIGH,0.7428,74.28,HIGH,0.0,0.2572,-0.2572,STABLE,False
Hungary,2021,1.75,2.25,4.5,0.5147,51.47,MODERATE,0.7627,76.27,HIGH,0.7261,72.61,HIGH,0.6678,66.78,HIGH,0.0,0.3322,-0.3322,CONSOLIDATING,False
Hungary,2022,1.75,2.25,4.5,0.5147,51.47,MODERATE,0.7627,76.27,HIGH,0.7261,72.61,HIGH,0.6678,66.78,HIGH,0.0,0.3322,-0.3322,STABLE,False
Hungary,2023,1.75,2.25,4.5,0.5147,51.47,MODERATE,0.7627,76.27,HIGH,0.7261,72.61,HIGH,0.6678,66.78,HIGH,0.0,0.3322,-0.3322,STABLE,False
Hungary,2024,1.75,2.0,4.5,0.5147,51.47,MODERATE,0.7627,76.27,HIGH,0.7261,72.61,HIGH,0.6678,66.78,HIGH,0.0,0.3322,-0.3322,STABLE,False
Poland,2005,4.25,4.5,9.0,0.9078,90.78,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8355,83.55,CRITICAL,,,,N/A (baseline),False
Poland,2006,4.25,4.5,9.0,0.9078,90.78,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8355,83.55,CRITICAL,0.0,0.1645,-0.1645,STABLE,False
Poland,2007,4.5,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.004,0.1605,-0.1565,STABLE,False
Poland,2008,4.5,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2009,4.5,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2010,4.5,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2011,4.5,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2012,4.75,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2013,4.75,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2014,4.75,4.75,9.0,0.9197,91.97,CRITICAL,0.9197,91.97,CRITICAL,0.6791,67.91,HIGH,0.8395,83.95,CRITICAL,0.0,0.1605,-0.1605,STABLE,False
Poland,2015,4.75,4.75,8.75,0.9197,91.97,CRITICAL,0.9078,90.78,CRITICAL,0.8433,84.33,CRITICAL,0.8903,89.03,CRITICAL,0.0508,0.1097,-0.059,DETERIORATING,True
Poland,2016,4.25,4.5,8.5,0.9078,90.78,CRITICAL,0.9197,91.97,CRITICAL,0.8433,84.33,CRITICAL,0.8903,89.03,CRITICAL,0.0,0.1097,-0.1097,STABLE,False
Poland,2017,3.75,4.25,8.0,0.8871,88.71,CRITICAL,0.9327,93.27,CRITICAL,0.8433,84.33,CRITICAL,0.8877,88.77,CRITICAL,0.0,0.1123,-0.1123,STABLE,False
Poland,2018,3.5,4.0,7.5,0.8871,88.71,CRITICAL,0.9327,93.27,CRITICAL,0.8859,88.59,CRITICAL,0.9019,90.19,CRITICAL,0.0142,0.0981,-0.0839,DETERIORATING,False
Poland,2019,3.25,4.0,7.25,0.8587,85.87,CRITICAL,0.8334,83.34,CRITICAL,0.8881,88.81,CRITICAL,0.8601,86.01,CRITICAL,0.0,0.1399,-0.1399,CONSOLIDATING,True
Poland,2020,3.0,3.75,7.0,0.8587,85.87,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8829,88.29,CRITICAL,0.0229,0.1171,-0.0942,DETERIORATING,False
Poland,2021,3.0,3.75,7.0,0.8587,85.87,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8829,88.29,CRITICAL,0.0,0.1171,-0.1171,STABLE,False
Poland,2022,3.0,3.75,7.0,0.8587,85.87,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8829,88.29,CRITICAL,0.0,0.1171,-0.1171,STABLE,False
Poland,2023,3.25,3.75,7.25,0.8587,85.87,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8829,88.29,CRITICAL,0.0,0.1171,-0.1171,STABLE,False
Poland,2024,3.5,4.0,7.5,0.8871,88.71,CRITICAL,0.9327,93.27,CRITICAL,0.8859,88.59,CRITICAL,0.9019,90.19,CRITICAL,0.019,0.0981,-0.0791,DETERIORATING,False
Romania,2005,3.5,3.25,7.5,0.8871,88.71,CRITICAL,0.8759,87.59,CRITICAL,0.8859,88.59,CRITICAL,0.883,88.3,CRITICAL,,,,N/A (baseline),False
Romania,2006,3.5,3.25,7.5,0.8871,88.71,CRITICAL,0.8759,87.59,CRITICAL,0.8859,88.59,CRITICAL,0.883,88.3,CRITICAL,0.0,0.117,-0.117,STABLE,False
Romania,2007,3.75,3.5,7.5,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8917,89.17,CRITICAL,0.0087,0.1083,-0.0996,DETERIORATING,False
Romania,2008,3.75,3.5,7.5,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8917,89.17,CRITICAL,0.0,0.1083,-0.1083,STABLE,False
Romania,2009,4.0,3.5,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0069,0.1014,-0.0945,DETERIORATING,False
Romania,2010,4.0,3.5,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0,0.1014,-0.1014,STABLE,False
Romania,2011,3.75,3.5,7.25,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8924,89.24,CRITICAL,0.0,0.1076,-0.1076,CONSOLIDATING,False
Romania,2012,3.75,3.5,7.0,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8924,89.24,CRITICAL,0.0,0.1076,-0.1076,STABLE,False
Romania,2013,4.0,3.75,7.25,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8993,89.93,CRITICAL,0.0069,0.1007,-0.0938,DETERIORATING,False
Romania,2014,4.0,3.75,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0,0.1014,-0.1014,STABLE,False
Romania,2015,4.25,3.75,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0,0.1014,-0.1014,STABLE,False
Romania,2016,4.25,3.75,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0,0.1014,-0.1014,STABLE,False
Romania,2017,4.0,3.75,7.5,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8986,89.86,CRITICAL,0.0,0.1014,-0.1014,STABLE,False
Romania,2018,3.75,3.75,7.5,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8859,88.59,CRITICAL,0.8917,89.17,CRITICAL,0.0,0.1083,-0.1083,CONSOLIDATING,False
Romania,2019,3.75,3.75,7.25,0.8871,88.71,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8924,89.24,CRITICAL,0.0007,0.1076,-0.1069,STABLE,False
Romania,2020,4.0,3.75,7.0,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8993,89.93,CRITICAL,0.0069,0.1007,-0.0938,DETERIORATING,False
Romania,2021,4.0,3.75,7.0,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8993,89.93,CRITICAL,0.0,0.1007,-0.1007,STABLE,False
Romania,2022,4.0,3.75,7.0,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8993,89.93,CRITICAL,0.0,0.1007,-0.1007,STABLE,False
Romania,2023,4.25,3.75,7.0,0.9078,90.78,CRITICAL,0.902,90.2,CRITICAL,0.8881,88.81,CRITICAL,0.8993,89.93,CRITICAL,0.0,0.1007,-0.1007,STABLE,False
Romania,2024,4.5,3.25,7.0,0.9197,91.97,CRITICAL,0.8271,82.71,CRITICAL,0.8881,88.81,CRITICAL,0.8783,87.83,CRITICAL,0.0,0.1217,-0.1217,CONSOLIDATING,True
