country,year,IS_alpha_3,zone_alpha_3,IS_alpha_4,zone_alpha_4,IS_alpha_5,zone_alpha_5,IS_alpha_6,zone_alpha_6,IS_alpha_7,zone_alpha_7
Hungary,2019,0.7085,CRITICAL,0.6933,HIGH,0.678,HIGH,0.6628,HIGH,0.6476,HIGH
Hungary,2020,0.7161,CRITICAL,0.6999,HIGH,0.6838,HIGH,0.6676,HIGH,0.6514,HIGH
Hungary,2021,0.7237,CRITICAL,0.7039,CRITICAL,0.684,HIGH,0.6642,HIGH,0.6443,HIGH
Hungary,2022,0.7237,CRITICAL,0.7039,CRITICAL,0.684,HIGH,0.6642,HIGH,0.6443,HIGH
Hungary,2023,0.7237,CRITICAL,0.7039,CRITICAL,0.684,HIGH,0.6642,HIGH,0.6443,HIGH
Hungary,2024,0.7276,CRITICAL,0.7059,CRITICAL,0.6843,HIGH,0.6626,HIGH,0.641,HIGH
Poland,2005,0.3941,LOW,0.43,MODERATE,0.4658,MODERATE,0.5016,MODERATE,0.5375,MODERATE
Poland,2006,0.3941,LOW,0.43,MODERATE,0.4658,MODERATE,0.5016,MODERATE,0.5375,MODERATE
Poland,2007,0.3604,LOW,0.3988,LOW,0.4372,MODERATE,0.4756,MODERATE,0.5139,MODERATE
Poland,2008,0.3604,LOW,0.3988,LOW,0.4372,MODERATE,0.4756,MODERATE,0.5139,MODERATE
Poland,2009,0.3604,LOW,0.3988,LOW,0.4372,MODERATE,0.4756,MODERATE,0.5139,MODERATE
Poland,2010,0.3604,LOW,0.3988,LOW,0.4372,MODERATE,0.4756,MODERATE,0.5139,MODERATE
Poland,2011,0.3604,LOW,0.3988,LOW,0.4372,MODERATE,0.4756,MODERATE,0.5139,MODERATE
Poland,2012,0.3448,LOW,0.384,LOW,0.4233,MODERATE,0.4625,MODERATE,0.5017,MODERATE
Poland,2013,0.3448,LOW,0.384,LOW,0.4233,MODERATE,0.4625,MODERATE,0.5017,MODERATE
Poland,2014,0.3448,LOW,0.384,LOW,0.4233,MODERATE,0.4625,MODERATE,0.5017,MODERATE
Poland,2015,0.4362,MODERATE,0.4751,MODERATE,0.5141,MODERATE,0.5531,HIGH,0.592,HIGH
Poland,2016,0.4041,MODERATE,0.4404,MODERATE,0.4766,MODERATE,0.5128,MODERATE,0.5491,MODERATE
Poland,2017,0.461,MODERATE,0.4904,MODERATE,0.5199,MODERATE,0.5493,MODERATE,0.5787,HIGH
Poland,2018,0.5,MODERATE,0.523,MODERATE,0.546,MODERATE,0.5689,HIGH,0.5919,HIGH
Poland,2019,0.5828,HIGH,0.5997,HIGH,0.6166,HIGH,0.6335,HIGH,0.6503,HIGH
Poland,2020,0.5484,MODERATE,0.5619,HIGH,0.5755,HIGH,0.589,HIGH,0.6026,HIGH
Poland,2021,0.5484,MODERATE,0.5619,HIGH,0.5755,HIGH,0.589,HIGH,0.6026,HIGH
Poland,2022,0.5484,MODERATE,0.5619,HIGH,0.5755,HIGH,0.589,HIGH,0.6026,HIGH
Poland,2023,0.5289,MODERATE,0.5448,MODERATE,0.5608,HIGH,0.5767,HIGH,0.5927,HIGH
Poland,2024,0.5,MODERATE,0.523,MODERATE,0.546,MODERATE,0.5689,HIGH,0.5919,HIGH
